query_id,doc1_id,doc2_id
6791,4171594,615941
8701,5346043,3883394
10264,5070732,622078
35996,5568539,5738880
36214,7365328,5747119
36473,6525435,876642
36703,5846450,5685752
36965,6622433,265992
37685,7467815,7609918
37952,6676009,7403876
38608,7277279,158930
39360,1125552,1125551
39908,5186463,3383681
43649,6483397,3060220
50498,5785688,1755252
50833,320952,5634829
51090,7395882,6175273
78076,2298801,7242980
80712,4301471,989646
81945,5704766,8003445
84106,3773899,8369247
86701,7949389,3987978
94798,7067177,2534598
118448,6448234,2584095
127876,2963050,204586
128772,7403593,7403588
129565,3671426,7221803
133977,6466736,4458111
156566,3491991,8620449
156688,2822224,4139921
156723,1992215,322165
165116,2736905,7354606
165335,4188107,4188105
165480,1794737,5034699
167371,1051020,71372
169305,308522,4596663
174249,901680,6396721
193581,1693080,7407450
193742,4984284,4155908
193866,7400587,1692073
193968,4374718,1940619
194531,4543158,1009354
194750,3953878,3953873
194870,3938379,2064143
195199,8009378,8009383
195440,4350297,4350293
195582,7353731,7353736
195693,3631400,1152811
196111,7368727,7368724
196232,446991,7712134
196250,2859495,2859496
196453,757392,7359983
196596,3228026,4451079
196720,8669407,556861
196949,4776278,1121638
196963,1411749,1828668
197024,5622012,7296934
197542,8542369,2101715
197945,5200465,1022271
197964,1791317,6727898
198581,7506364,7506369
198807,7341214,7341212
199177,992005,819154
199572,6464781,549394
199776,625917,8274104
199837,5287395,5612240
200042,7989047,4497821
200296,8497779,674689
201154,842706,842701
201366,8612321,3495643
201376,4892700,1013931
202006,7727452,7170829
202073,3169685,8626688
202081,5221859,4507678
202797,3404367,3265991
202954,2749696,3133028
203039,7555487,3703352
203274,5695242,7980495
203317,5625598,7477007
203390,6350325,3309774
203458,5052678,7286210
203646,7373078,3807393
203688,7643475,1445077
205107,7081548,7081552
205251,2763067,6411426
205741,3715853,7980049
206117,1664259,4836594
206549,8202033,6865990
206806,2924547,3285040
206819,1963653,7066249
207251,3176223,7830274
207595,3667190,356790
208145,8256891,3742059
208198,2749676,2706754
208265,3526262,8172683
208339,559857,5836093
208411,7610503,7569626
208494,7073275,7569626
208610,7817967,3332631
208822,7674638,8738118
209651,199151,6769495
209730,1418192,5310953
209764,2732521,642814
210442,5734248,3321835
210690,5182756,663748
211468,6619254,5625851
211621,7373879,5896313
211691,7070648,7070643
212195,4017872,4736162
212236,2812062,4069345
212251,3224602,7563957
212303,5189372,2269891
212435,8583005,7613904
212477,1420018,4055519
212634,7392104,2272770
212796,1946624,7637191
212977,5755548,7726167
214040,2192457,2192452
215603,4477533,8699730
217246,6827889,6328765
218000,5749798,5749802
220087,8807796,6463437
220761,3662590,7150632
221664,3110545,6961478
222158,212386,5811619
222954,1666239,7665246
223165,6453107,2021370
223468,4949701,1668889
224314,568779,5982678
224548,4346626,639938
224626,4956428,604592
225499,3625379,4862675
225752,6998798,4304018
226132,4739916,4073933
226335,5498052,7799721
226461,8076895,5565909
226509,8820468,7644602
227317,3675255,7741536
227591,7137406,6304323
227968,1305385,8486068
228474,2059294,7566330
228738,1733560,3352308
229325,4537999,181240
230179,6283462,8019973
230725,7737541,3579664
230891,5788137,8284560
231109,2238705,8820262
231292,5891685,4218811
231298,1136549,7671966
231482,3104374,7503782
231717,7661545,281576
231877,3719257,7680296
232703,6085990,8241184
233904,8829484,5839387
234114,4729823,8371660
234165,7733801,6732535
234388,7573020,3157465
234644,5348930,3676589
234651,7382002,554913
234821,8536408,5538714
235027,6100975,7357190
235089,7834221,7314284
235534,4465537,4550010
235832,6113823,5291079
236427,8317325,7390167
236580,4899833,1908364
236582,7853249,7850437
236708,7441140,7441143
236801,4629816,7107299
236949,3116684,3116683
237370,6308201,7148629
237373,171969,447723
237561,7306360,5232358
237936,5595075,3946689
238886,4814460,5690856
239189,1015429,7340131
239511,5907698,5907699
239516,4344818,2924939
239648,161054,161048
239830,466698,7713965
240584,5569671,2643208
241246,6451782,3544439
242019,5918864,2840962
242061,863144,3405430
242103,6168403,1572993
242107,4516724,6591469
242219,7311863,6165729
242863,6435333,6505193
243139,1789389,6541580
243416,8326816,5550623
243712,3367984,6062385
243761,6476440,904464
244011,242133,5380199
244092,2468894,3303241
244821,6509036,3421030
244902,4636958,2741295
244929,8278437,2338567
245120,5671159,4056131
245416,8260383,3993773
245921,5770375,4253917
246626,7297318,3495927
247194,3495948,1978938
248385,6479985,4992801
249118,4205045,5642279
249176,6014206,7309342
249618,721417,721408
249792,1023101,734273
249821,5843828,1763673
250228,720228,2091384
250367,5917386,7388762
250636,6857183,7319641
251172,2222236,4847719
251445,3091649,68242
252295,3029270,6157934
252632,5736434,5993840
253965,6595027,5108842
253966,5717767,6608768
254652,2034707,7907670
255027,5851478,6984550
255469,7136414,6375429
255633,6367645,2397568
256052,5641048,3976122
256192,6026608,6776330
256783,5999197,5192383
257018,6326077,3914660
257335,6443438,6009387
257772,5505021,2320492
257885,7442279,556160
258337,1409489,2329445
258485,1030300,6168246
259239,3468645,2591964
259417,3656696,7834234
259763,2231488,7862115
259781,7984189,7984187
260172,482542,3754901
260762,2074859,8312211
260853,7817455,1829528
261098,7448801,7448800
